title,video_id,video_url,published_date,thumbnail_url,view_count,like_count,comment_count,duration_hms,duration_sec,channel_name,channel_id,subscriber_count,categories,tags,uploader_url,description,error
[KIA 타이거즈] 선수별 응원가 제안서.pdf,VzzZ70tWMJ8,https://www.youtube.com/watch?v=VzzZ70tWMJ8,2025-09-18,https://i.ytimg.com/vi/VzzZ70tWMJ8/maxresdefault.jpg,174862.0,4022.0,368.0,24:24,1464.0,유병재,UCHw9p667e9l0qoYfY8calaA,1690000.0,Comedy,"['코미디', '개그', '라이브코미디', 'comedy', 'korea comedy', '유병재', '문상훈', '유규선', '웹예능', '문학의밤']",https://www.youtube.com/@KoreanCryingGuy,"필라이트 클리어가 12캔에 만원...⁉️
야구 1회마다 한 캔씩 마셔도 9회까지 거뜬~

믿기 힘든 비교불가 가성비 🌊필라이트 클리어🌊 와 함께 즐겨보세용~~!! 😋

#필라이트클리어 #만원에12캔 #🍻

[기아 선수별 타임라인]
00:00 인트로
04:17 박찬호
06:31 김호령
08:07 이의리
10:42 양현종
11:35 제임스 네일
14:52 전상현
17:13 오선우
23:09 나성범",
[무공해] 험한 것이 나와도 김고은이랑 무조건 공감합니다,_ttuPeDExTo,https://www.youtube.com/watch?v=_ttuPeDExTo,2025-09-12,https://i.ytimg.com/vi/_ttuPeDExTo/maxresdefault.jpg,758030.0,10983.0,535.0,36:18,2178.0,유병재,UCHw9p667e9l0qoYfY8calaA,1690000.0,Comedy,"['코미디', '개그', '라이브코미디', 'comedy', 'korea comedy', '유병재', '문상훈', '유규선', '웹예능', '문학의밤']",https://www.youtube.com/@KoreanCryingGuy,"넷플릭스 시리즈 [은중과 상연] 드디어 👉오늘 공개 👈

친구란 게... 참,
매 순간 서로를 가장 좋아하고 동경하다가🧑‍🤝‍🧑  또 질투하고 미워하고... 😡
다 그런 거 아니겠어요?

일생에 걸쳐 얽히고설킨 김고은X박지현 우정 서사에 숨참고 딥다이브!!!
넷플릭스에서 바로 만나볼까용~? 🤓


*일반인 사연자들에 대한 무분별한 비난은 삭제 될 수 있습니다
[8/21(목)에 진행한 라이브 방송입니다]

#넷플릭스 #은중과상연 #절찬스트리밍중",
[무공해] 폭주하는 공감 요정.. 아이브 레이랑 무조건 공감합니다,N5Zk-xH1e0k,https://www.youtube.com/watch?v=N5Zk-xH1e0k,2025-09-05,https://i.ytimg.com/vi/N5Zk-xH1e0k/maxresdefault.jpg,677690.0,9259.0,569.0,35:35,2135.0,유병재,UCHw9p667e9l0qoYfY8calaA,1690000.0,Comedy,"['코미디', '개그', '라이브코미디', 'comedy', 'korea comedy', '유병재', '문상훈', '유규선', '웹예능', '문학의밤']",https://www.youtube.com/@KoreanCryingGuy,"*사연자들은 모두 일반인입니다. 무분별한 비난은 삭제될 수 있습니다*

공감이 필요한 사연은 언제든지 [ next@bpp.co.kr ]로 보내기📩",
[ENG SUB] 직역된 가사보고 노래 맞히기 (w.태래 규빈 리키),-6vOqZs6CFA,https://www.youtube.com/watch?v=-6vOqZs6CFA,2025-09-02,https://i.ytimg.com/vi/-6vOqZs6CFA/maxresdefault.jpg,192365.0,8331.0,516.0,21:34,1294.0,유병재,UCHw9p667e9l0qoYfY8calaA,1690000.0,Comedy,"['코미디', '개그', '라이브코미디', 'comedy', 'korea comedy', '유병재', '문상훈', '유규선', '웹예능', '문학의밤']",https://www.youtube.com/@KoreanCryingGuy,"📌https://bit.ly/3ULB2X7
👉 스픽XT1 코스를 무료 체험으로 딱! 공부해봅시다! (9/2 ~ 22)

 티원 챌린지 참여하고 다양한 경품까지 받아가보면 딱 좋겠죠? 🔥

🎁경품 혜택 🎁
•T1 선수들과 프라이빗 팬미팅 (20명)
•선수단 싸인 유니폼
•그 외 다양한 굿즈까지!💖",
근데 운전은 로이킴이,QxSIqNOMCm4,https://www.youtube.com/watch?v=QxSIqNOMCm4,2025-08-29,https://i.ytimg.com/vi_webp/QxSIqNOMCm4/maxresdefault.webp,167341.0,1979.0,201.0,24:17,1457.0,유병재,UCHw9p667e9l0qoYfY8calaA,1690000.0,Comedy,"['코미디', '개그', '라이브코미디', 'comedy', 'korea comedy', '유병재', '문상훈', '유규선', '웹예능', '문학의밤', '로이킴', '김상우', '뭔가안맞는여행', '쏘카']",https://www.youtube.com/@KoreanCryingGuy,"쏘카는 보이는 가격 그대로😶
이제 [총 결제 요금] 한 번만 내고 타세요

50km 이하로 타면 주행요금 0원,
전기차 주행요금은 무제한 0원!
실속보장 선택하면 보험·보장상품도 0원!

👉지금 쏘카에서 확인하기
https://get.socar.kr/xt6m5c",
"[무공해] 샤이니 T랑, 아니 키랑.. 무조건 공감합니다",cqIZU2iQym4,https://www.youtube.com/watch?v=cqIZU2iQym4,2025-08-20,https://i.ytimg.com/vi/cqIZU2iQym4/maxresdefault.jpg,1607520.0,22616.0,910.0,33:40,2020.0,유병재,UCHw9p667e9l0qoYfY8calaA,1690000.0,Comedy,"['코미디', '개그', '라이브코미디', 'comedy', 'korea comedy', '유병재', '문상훈', '유규선', '웹예능', '문학의밤', '샤이니', '키', '무공해']",https://www.youtube.com/@KoreanCryingGuy,"[8/6(수)에 진행한 라이브 방송입니다]
*사연자들은 모두 일반인입니다. 무분별한 비난은 삭제될 수 있습니다*

공감이 필요한 사연은 언제든지 [ next@bpp.co.kr ]로 보내기📩",
[SUB] 지드래곤의 웃으면 안되는 생일파티,uueHgOX-N4w,https://www.youtube.com/watch?v=uueHgOX-N4w,2025-08-18,https://i.ytimg.com/vi/uueHgOX-N4w/maxresdefault.jpg,7527863.0,170565.0,10000.0,22:47,1367.0,유병재,UCHw9p667e9l0qoYfY8calaA,1690000.0,Comedy,"['코미디', '개그', '라이브코미디', 'comedy', 'korea comedy', '유병재', '문상훈', '유규선', '웹예능', '문학의밤']",https://www.youtube.com/@KoreanCryingGuy,"[❤️G-DRAGON 생일축하해❤️]
G-DRAGON님의 생일을 맞이하여🎉
여기어때에서 해외숙소 최대 5만원 할인쿠폰을 드립니다.😍
🚩쿠폰코드 :  지드래곤생일축하해
👉바로 등록 :  https://yeogi.onelink.me/SECZ/8fxmxmq4
✔️ 유의사항
-쿠폰 코드는 계정 별 1회 사용 가능합니다.
-쿠폰은 선착순 증정이니, 지금 바로 등록해보세요!
-쿠폰 발급 및 사용 가능 기간 : 8월 18일 ~ 8월 24일 23:59까지
*쿠폰 수량 소진 시 발급이 종료될 수 있습니다.",
[궤도의 잠 못 드는 밤] 솔직히 진짜 안 졸ㄹ...,aloozy3sJiI,https://www.youtube.com/watch?v=aloozy3sJiI,2025-08-11,https://i.ytimg.com/vi/aloozy3sJiI/maxresdefault.jpg,717054.0,8895.0,536.0,1:28:26,5306.0,유병재,UCHw9p667e9l0qoYfY8calaA,1690000.0,Comedy,"['코미디', '개그', '라이브코미디', 'comedy', 'korea comedy', '궤도', '유병재', '이사배', '가비', '과학', '잠못드는밤']",https://www.youtube.com/@KoreanCryingGuy,"나 진짜 자고싶은데... 💤
잠깐만, 나는 잠을 못자도 피부라도 먼저 재울 수 있다고??

푹 잔듯한 피부 컨디션을 만들어주는 라네즈 슬리핑 마스크!
역대급 혜택으로 만나보세요~ 🎁 👇 
📢 8월 12일(화) 오후 8시 라이브에서 추가 혜택까지~~!

🛒링크 : http://bit.ly/4fsXQV2 

워터 슬리핑 마스크 + 페이스 쿨러 + 슬리핑마스크 미니 3종 + 립 슬리핑 마스크 미니 (베리)
32,000원 ➡️ 23,040원 (28% OFF)
시카 슬리핑 마스크 + 페이스 쿨러 + 슬리핑마스크 미니 3종 + 립 슬리핑 마스크 미니 (베리)
34,000원 ➡️ 24,480원 (28% OFF)


[타임라인]
00:00 미리 보기
00:54 오프닝
03:16 과학 커뮤니케이터 궤도 등장
05:43 잘 자는 법
06:40 기억의 메커니즘
08:22 수면과 피부의 상관관계
11:02 피부의 적, 여름
14:55 날씨 100% 예측할 수 없나
16:20 카오스 이론
20:18 환경 보호 행동 수칙
24:00 포켓남 병재와 지열의 관계
24:44 하이힐의 과학적 효과(?)
25:34 공포가 주는 체온 저하의 과학적 근거
28:11 분노와 힘, 혈관의 상관관계
29:22 팔 힘줄의 이성적 효과
30:47 잘생김은 과학이다
32:12 미래 인류의 모습은?
34:44 Gen Z Stare (젠지 스테어)
37:01 시뮬레이션 우주론 & 자유의지론
39:50 자유의지론
41:31 벤자민 리벳의 실험
45:55 (돌고 돌아) 시뮬레이션 우주론
46:25 AI
47:57 사랑의 메커니즘
59:55 도파민
01:02:49 멜라토닌
01:03:51 최적의 수면 시간
01:10:26 최적의 목 관리법
01:12:47 직관은 어디서 오는 것인가
01:20:13 궤학(궤도의 철학)
01:22:31 항상 같은 시간대를 목격하는 이유",
[무딱싫] 무서운 거 딱 싫은디.. 자꾸 시킴.. ㅠ,UXqLHmXux4g,https://www.youtube.com/watch?v=UXqLHmXux4g,2025-08-08,https://i.ytimg.com/vi_webp/UXqLHmXux4g/maxresdefault.webp,1227601.0,17969.0,1100.0,42:28,2548.0,유병재,UCHw9p667e9l0qoYfY8calaA,1690000.0,Comedy,"['코미디', '개그', '라이브코미디', 'comedy', 'korea comedy', '유병재', '문상훈', '유규선', '웹예능', '문학의밤', '공포', '심야괴담', '괴담']",https://www.youtube.com/@KoreanCryingGuy,"※실제 시청자들이 겪거나 주변에서 들은 사연을 바탕으로 진행하였습니다.※
7월 24일(목)에 진행한 라이브 방송입니다.

[공포 사연 리스트]
00:00 미리보기
00:32 오프닝
02:28 [★☆☆] 길 안내를 종료합니다
05:54 [★☆☆] ㄷ 
10:56 [★★☆] 태울 걸 그랬나?
15:54 [★★★] 화장실 속 소연이
22:37 화장실 가고픈 병재
24:25 [★☆☆] 고김심존
29:39 [★★★] 거미
34:06 ※비명 주의※
35:22 [★★☆] 고모네 집
40:41 엔딩",
[무공해] 퇴사마려운 직장인분들과도 공감합니다,-QGydAGuO_k,https://www.youtube.com/watch?v=-QGydAGuO_k,2025-08-01,https://i.ytimg.com/vi/-QGydAGuO_k/maxresdefault.jpg,804159.0,8892.0,1000.0,35:22,2122.0,유병재,UCHw9p667e9l0qoYfY8calaA,1690000.0,Comedy,"['코미디', '개그', '라이브코미디', 'comedy', 'korea comedy', '유병재', '문상훈', '유규선', '웹예능', '문학의밤']",https://www.youtube.com/@KoreanCryingGuy,"✈️ 아~ 출근하기 싫다. 그럼 짐 싸!

여행 하드웨어 브랜드 리드볼트에서 출근하기 싫은 분들을 위해 준비한 이벤트 👀
제주도부터~ 뉴욕까지! 무려 12개국 대한항공 왕복 항공권을 쏜다!!!

뿐만 아니라 다양한 할인 혜택도 진행하고 있으니
👇 아래 링크에서 바로 확인해보세용~~~ 👇
▶️ https://bit.ly/3IK6Toa

🎁 리드볼트 x 유병재 이벤트 🎁

① 영상 시청 후 자유롭게 댓글 작성한다. (ex. 무공해 평생해주세요.)
② 아래의 신청 양식에 작성한 댓글과 정보를 제출하면 끝.

추첨을 통해 리드볼트 캐리어를 선물로 드립니다. 😎
신청 양식: https://forms.gle/jsYL3PUbs4yyhxVu6

*당첨자분들께는 추후 개별 연락을 통해 안내드릴 예정입니다.

#리드볼트 #리드볼트캐리어

[7월 15일(화)에 진행한 라이브입니다]
사연자들은 모두 일반인입니다. 무분별한 비난은 삭제될 수 있습니다

공감이 필요한 사연은 언제든지 [ next@bpp.co.kr ]로 보내기📩",
